artist,music,track
Djavan,"valei-me, deus!
é o fim do nosso amor
perdoa, por favor
eu sei que o erro aconteceu
mas não sei o que fez
tudo mudar de vez
onde foi que eu errei?
eu só sei que amei,
que amei, que amei, que amei

será talvez
que minha ilusão
foi dar meu coração
com toda força
pra essa moça
me fazer feliz
e o destino não quis
me ver como raiz
de uma flor de lis

e foi assim que eu vi
nosso amor na poeira,
poeira
morto na beleza fria de maria

e o meu jardim da vida
ressecou, morreu
do pé que brotou maria
nem margarida nasceu.

e o meu jardim da vida
ressecou, morreu
do pé que brotou maria
nem margarida nasceu.


© 1976 bmg music publishing brasil.",Flor de Lis
Gilberto Gil,"aiaiá, kiriê 
kiriê, iaiá 

a refavela 
revela aquela 
que desce o morro e vem transar 
o ambiente 
efervescente 
de uma cidade a cintilar 

a refavela 
revela o salto 
que o preto pobre tenta dar 
quando se arranca 
do seu barraco 
prum bloco do bnh 

a refavela, a refavela, ó 
como é tão bela, como é tão bela, ó 

a refavela 
revela a escola 
de samba paradoxal 
brasileirinho 
pelo sotaque 
mas de língua internacional 

a refavela 
revela o passo 
com que caminha a geração 
do black jovem 
do black-rio 
da nova dança no salão 

iaiá, kiriê 
kiriê, iaiá 

a refavela 
revela o choque 
entre a favela-inferno e o céu 
baby-blue-rock 
sobre a cabeça 
de um povo-chocolate-e-mel 

a refavela 
revela o sonho 
de minha alma, meu coração 
de minha gente 
minha semente 
preta maria, zé, joão 

a refavela, a refavela, ó 
como é tão bela, como é tão bela, ó 

a refavela 
alegoria 
elegia, alegria e dor 
rico brinquedo 
de samba-enredo 
sobre medo, segredo e amor 

a refavela 
batuque puro 
de samba duro de marfim 
marfim da costa 
de uma nigéria 
miséria, roupa de cetim 

iaiá, kiriê 
kiriê, iáiá.",Refavela
Caetano Veloso,"eu sou o vento que lança a areia do saara
sobre os automóveis de roma
eu sou a sereia que dança
a destemida iara
água e folha da amazônia
eu sou a sombra da voz da matriarca da roma negra
você não me pega
você nem chega a me ver
meu som te cega, careta, quem é você?
que não sentiu o suingue de henri salvador
que não seguiu o olodum balançando o pelô
e que não riu com a risada de andy warhol
que não, que não e nem disse que não

eu sou um preto norte-americano forte
com um brinco de ouro na orelha
eu sou a flor da primeira música
a mais velha
a mais nova espada e seu corte
sou o cheiro dos livros desesperados
sou gitá gogóia
seu olho me olha mas não me pode alcançar
não tenho escolha, careta, vou descartar
quem não rezou a novena de dona canô
quem não seguiu o mendigo joãozinho beija-flor
quem não amou a elegância sutil de bobô
quem não é recôncavo e nem pode ser reconvexo


© editora gapa",Reconvexo - Ao Vivo
Cássia Eller,"é uma índia com colar
a tarde linda que não quer se por
dançam as ilhas sobre o mar
sua cartilha tem o a de que cor
o que está acontecendo?
o mundo está ao contrário e ninguém reparou
o que está acontecendo?
eu estava em paz quando você chegou

e são dois cílios em pleno ar
atrás do filho vem o pai e o avô
como um gatilho sem disparar
você invade mais um lugar
onde eu não vou
o que você está fazendo?
milhões de vasos sem nenhuma flor
o que você está fazendo?
um relicário imenso desse amor

sobe a lua, por que longe vai?
corre o dia tão vertical
o horizonte anuncia com o seu vitral
eu trocaria a eternidade por essa noite
por que está amanhecendo?
peço o contrário, ver o sol se por
por que está amanhecendo?
se não vou beijar seus lábios quando você se for

quem nesse mundo faz o que há durar
pura semente dura o futuro amor
eu sou a chuva pra você secar
pelo zunido das suas asas você me falou
o que você está dizendo?
milhões de frases sem nenhuma cor
o que você está dizendo?
um relicário imenso desse amor

o que você está dizendo?
o que você está fazendo?
por que é que está fazendo assim?",Relicário - Ao Vivo
Elis Regina,"não quero lhe falar meu grande amor 
das coisas que aprendi nos discos
quero lhe contar como eu vivi 
e tudo o que aconteceu comigo 
viver é melhor que sonhar 
eu sei que o amor é uma coisa boa 
mas também sei 
que qualquer canto é menor do que a vida 
de qualquer pessoa

por isso cuidado meu bem 
há perigo na esquina 
eles venceram e o sinal 
está fechado pra nós 
que somos jovens...

para abraçar seu irmão 
e beijar sua menina, na lua 
é que se fez o seu braço, 
o seu lábio e a sua voz...

você me pergunta pela minha paixão 
digo que estou encantada como uma nova invenção 
eu vou ficar nesta cidade não vou voltar pro sertão 
pois vejo vir vindo no vento cheiro da nova estação 
eu sei de tudo na ferida viva do meu coração...

já faz tempo eu vi você na rua 
cabelo ao vento, gente jovem reunida 
na parede da memória essa lembrança 
é o quadro que dói mais...

minha dor é perceber 
que apesar de termos feito tudo o que fizemos 
ainda somos os mesmos e vivemos 
ainda somos os mesmos e vivemos 
como os nossos pais...

nossos ídolos ainda são os mesmos 
e as aparências não enganam não 
você diz que depois deles não apareceu mais ninguém 
você pode até dizer que eu tô por fora 
ou então que eu tô inventando...

mas é você que ama o passado e que não vê 
é você que ama o passado e que não vê 
que o novo sempre vem...

hoje eu sei que quem me deu a ideia
de uma nova consciência e juventude 
tá em casa, guardado por deus 
contando vil metal...

minha dor é perceber que apesar de termos 
feito tudo, tudo, tudo o que fizemos 
nós ainda somos os mesmos e vivemos 
ainda somos os mesmos e vivemos 
ainda somos os mesmos e vivemos 
como os nossos pais...",Como Nossos Pais
Geraldo Azevedo,"se você vier pro que der e vier comigo
eu lhe prometo o sol...  se hoje o sol sair
ou a chuva...       se a chuva cair
se você vier até onde a gente chegar

numa praça na beira do mar
um pedaço de qualquer lugar
e neste dia branco se branco ele for

esse tan...to, esse canto de amor
se você quiser e vier pro que der e vier comigo
se branco ele for
esse tanto, esse canto, esse tão grande amor, grande amor

se você vier pro que der e vier comigo
eu lhe prometo o sol...  se hoje o sol sair
ou a chuva...       se a chuva cair
se você vier até onde a gente chegar

numa praça na beira do mar
um pedaço de qualquer lugar
e neste dia branco se branco ele for

esse canto, esse tão grande amor, grande amor
se você quiser e vier pro que der e vier comigo, comigo, comigo",Dia Branco - Ao Vivo | Bonus Track
Adriana Calcanhotto,"rasgue as minhas cartas
e não me procure mais
assim será melhor meu bem

o retrato que eu te dei
se ainda tens não sei
mas se tiver devolva-me

deixe-me sozinho
porque assim eu viverei em paz
quero que sejas bem feliz
junto do seu novo rapaz

rasgue as minhas cartas
e não me procure mais
assim vai ser melhor meu bem

o retrato que eu te dei
se ainda tens não sei
mas se tiver devolva-me

o retrato que eu te dei
se ainda tens não sei
mas se tiver...
devolva-me, devolva-me, devolva-me",Devolva-Me (Ao Vivo)
João Gilberto,"vai minha tristeza e diz a ela que
sem ela não pode ser
diz-lhe numa prece
que ela regresse
porque eu não posso mais sofrer

chega de saudade
a realidade é que
sem ela não há paz, não há beleza é só tristeza
e a melancolia que não sai de mim
não sai de mim, não sai

mas se ela voltar
se ela voltar, que coisa linda... que coisa louca
pois há menos peixinhos a nadar no mar
do que os beijinhos que eu darei na sua boca

dentro dos meus braços
os abraços hão de ser milhões de abraços
apertado assim, colado assim, calado assim
abraços e beijinhos e carinhos sem ter fim
que é para acabar com esse negócio
de viver longe de mim

vai minha tristeza e diz a ela que
sem ela não pode ser
diz-lhe numa prece
que ela regresse
porque eu não posso mais sofrer

chega de saudade
a realidade é que
sem ela não há paz, não há beleza é só tristeza
e a melancolia que não sai de mim
não sai de mim, não sai

mas se ela voltar
se ela voltar, que coisa linda... que coisa louca
pois há menos peixinhos a nadar no mar
do que os beijinhos que eu darei na sua boca

dentro dos meus braços
os abraços hão de ser milhões de abraços
apertado assim, colado assim, calado assim
abraços e beijinhos e carinhos sem ter fim
que é para acabar com esse negócio
de viver longe de mim
não quero mais esse negócio de você viver assim
vamos deixar esse negócio de você viver sem mim",Chega de Saudade
Chico Buarque,"não se afobe, não
que nada é pra já 
o amor não tem pressa
ele pode esperar em silêncio
num fundo de armário
na posta-restante 
milênios, milênios
no ar 

e quem sabe, então
o rio será
alguma cidade submersa
os escafandristas virão
explorar sua casa
seu quarto, suas coisas
sua alma, desvãos 


sábios em vão
tentarão decifrar 
o eco de antigas palavras
fragmentos de cartas, poemas
mentiras, retratos
vestígios de estranha civilização 


não se afobe, não 
que nada é pra já 
amores serão sempre amáveis
futuros amantes, quiçá 
se amarão sem saber 
com o amor que eu um dia
deixei pra você",Futuros Amantes
Ney Matogrosso,"tudo de bom que você me fizer
faz minha rima ficar mais rara
o que você faz me ajuda a cantar!
põe um sorriso na minha cara

meu amor, você me dá sorte!
meu amor, você me dá sorte!
meu amor, você me dá sorte na vida!

quando te vejo não saio do tom
mas meu desejo já se repara!
me dá um beijo com tudo de bom
e acende a noite na guanabara!

meu amor, você me dá sorte!
meu amor, você me dá sorte!
meu amor, você me dá sorte de cara!",Sorte
